NORAD_CAT_ID,OBJECT_NAME,EPOCH,BSTAR,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SOURCE_URL,RETRIEVED_AT
34117,COSMOS 2251 DEB,2026-08-25T08:42:27.652320,0.00037270978,74.0366,231.1479,0.00584355,247.4852,112.0112,14.40893915,CelesTrak (Manual Download),20260826T042208Z
34118,COSMOS 2251 DEB,2026-08-25T00:07:19.555680,0.0011367671,73.9462,88.1504,0.00534753,212.1266,307.8916,15.04245494,CelesTrak (Manual Download),20260826T042208Z
34120,COSMOS 2251 DEB,2026-08-25T04:42:40.184352,0.00016141,73.9924,133.6181,0.0183087,265.5993,252.91,13.98909758,CelesTrak (Manual Download),20260826T042208Z
34121,COSMOS 2251 DEB,2026-08-25T08:51:17.995392,0.0012351007,73.9926,18.7538,0.02373929,169.0652,223.2062,13.92767727,CelesTrak (Manual Download),20260826T042208Z
34122,COSMOS 2251 DEB,2026-08-25T08:06:21.206880,0.00095250552,74.0374,345.5465,0.00785919,177.5713,247.3082,14.68031595,CelesTrak (Manual Download),20260826T042208Z
34127,COSMOS 2251 DEB,2026-08-25T20:54:46.152864,0.00074066156,74.1774,300.1783,0.01094655,65.8526,55.386,14.33424536,CelesTrak (Manual Download),20260826T042208Z
34128,COSMOS 2251 DEB,2026-08-25T09:37:21.254016,0.0019613332,73.9865,127.1686,0.00242447,182.6739,295.471,15.19723915,CelesTrak (Manual Download),20260826T042208Z
34129,COSMOS 2251 DEB,2026-08-25T21:00:02.295648,0.00086276044,74.0307,196.4799,0.00345267,218.6587,141.2118,14.7971229,CelesTrak (Manual Download),20260826T042208Z
34136,COSMOS 2251 DEB,2026-08-25T03:32:00.583872,0.0002599,74.0162,258.2083,0.0086043,313.9412,108.4157,14.81596114,CelesTrak (Manual Download),20260826T042208Z
34139,COSMOS 2251 DEB,2026-08-25T03:36:50.131008,0.0008096386,74.0295,125.7525,0.00407979,137.8835,14.0994,14.62260061,CelesTrak (Manual Download),20260826T042208Z
34141,COSMOS 2251 DEB,2026-08-25T12:41:22.013664,0.00083485306,74.0073,267.0847,0.00536841,291.819,219.7767,14.51934649,CelesTrak (Manual Download),20260826T042208Z
34270,COSMOS 2251 DEB,2026-08-25T06:04:55.094880,0.00045417,74.0113,173.6113,0.0050601,262.6583,96.8834,14.66582331,CelesTrak (Manual Download),20260826T042208Z
34271,COSMOS 2251 DEB,2026-08-25T07:02:49.963776,0.0012257,74.0175,60.0115,0.0017454,63.923,110.4028,14.7675295,CelesTrak (Manual Download),20260826T042208Z
34273,COSMOS 2251 DEB,2026-08-25T15:35:38.088960,0.00042478345,74.0372,317.2533,0.00152227,4.6204,145.7594,14.63145307,CelesTrak (Manual Download),20260826T042208Z
34274,COSMOS 2251 DEB,2026-08-25T15:14:06.020160,0.00051065,74.0026,294.3742,0.0022442,9.9419,145.8898,14.67323971,CelesTrak (Manual Download),20260826T042208Z
34276,COSMOS 2251 DEB,2026-08-25T11:39:17.618112,0.00034847889,74.0234,318.4544,0.00218296,33.4873,338.0512,14.58588218,CelesTrak (Manual Download),20260826T042208Z
